2026-03-19 18:07:41,245 | modules.data_loader  | INFO  |   ETH/USDT 5m — 251000 bougies téléchargées (→ 2023-05-22)
2026-03-19 18:07:45,691 | modules.data_loader  | INFO  |   ETH/USDT 5m — 260000 bougies téléchargées (→ 2023-06-22)
2026-03-19 18:07:46,386 | modules.data_loader  | INFO  |   ETH/USDT 5m — 261000 bougies téléchargées (→ 2023-06-26)
2026-03-19 18:07:50,328 | modules.data_loader  | INFO  |   ETH/USDT 5m — 270000 bougies téléchargées (→ 2023-07-27)
2026-03-19 18:07:50,586 | modules.data_loader  | INFO  |   ETH/USDT 5m — 271000 bougies téléchargées (→ 2023-07-30)
2026-03-19 18:07:53,291 | modules.data_loader  | INFO  |   ETH/USDT 5m — 280000 bougies téléchargées (→ 2023-08-31)
2026-03-19 18:07:53,558 | modules.data_loader  | INFO  |   ETH/USDT 5m — 281000 bougies téléchargées (→ 2023-09-03)
2026-03-19 18:07:56,672 | modules.data_loader  | INFO  |   ETH/USDT 5m — 290000 bougies téléchargées (→ 2023-10-04)
2026-03-19 18:07:56,936 | modules.data_loader  | INFO  |   ETH/USDT 5m — 291000 bougies téléchargées (→ 2023-10-08)
2026-03-19 18:08:00,069 | modules.data_loader  | INFO  |   ETH/USDT 5m — 300000 bougies téléchargées (→ 2023-11-08)
2026-03-19 18:08:00,372 | modules.data_loader  | INFO  |   ETH/USDT 5m — 301000 bougies téléchargées (→ 2023-11-12)
2026-03-19 18:08:03,276 | modules.data_loader  | INFO  |   ETH/USDT 5m — 310000 bougies téléchargées (→ 2023-12-13)
2026-03-19 18:08:03,539 | modules.data_loader  | INFO  |   ETH/USDT 5m — 311000 bougies téléchargées (→ 2023-12-16)
2026-03-19 18:08:07,103 | modules.data_loader  | INFO  |   ETH/USDT 5m — 320000 bougies téléchargées (→ 2024-01-17)
2026-03-19 18:08:07,364 | modules.data_loader  | INFO  |   ETH/USDT 5m — 321000 bougies téléchargées (→ 2024-01-20)
2026-03-19 18:08:10,527 | modules.data_loader  | INFO  |   ETH/USDT 5m — 330000 bougies téléchargées (→ 2024-02-20)
